Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SBIN,EQ,01-Jan-18,309.9,310.6,312.75,306.3,306.75,307.1,309.08,12182400,3765314889,75769,5697288,46.77
SBIN,EQ,02-Jan-18,307.1,309,309,301.35,303,303.25,304,14797364,4498328483,100195,5698196,38.51
SBIN,EQ,03-Jan-18,303.25,305.3,306.45,302.15,302.8,302.85,304.32,13857373,4217070489,117207,6941140,50.09
SBIN,EQ,04-Jan-18,302.85,304.5,310.2,303.15,309.25,308.5,307.63,24517099,7542211203,140513,10508054,42.86
SBIN,EQ,05-Jan-18,308.5,311.4,311.4,305.6,307.25,306.35,308.05,14580575,4491543989,91829,4896408,33.58
SBIN,EQ,08-Jan-18,306.35,307.2,309.5,305,306.05,305.8,306.58,13557197,4156338432,108289,7093201,52.32
SBIN,EQ,09-Jan-18,305.8,307.5,309.5,303.3,303.9,304.3,305.88,15574755,4763934527,110914,6339261,40.7
SBIN,EQ,10-Jan-18,304.3,304.65,305.85,300,301.05,301.1,302.25,13064599,3948825009,122547,5378392,41.17
SBIN,EQ,11-Jan-18,301.1,300.9,303,300,302.15,302.2,301.97,12299087,3713982807,93067,5685528,46.23
SBIN,EQ,12-Jan-18,302.2,304.65,304.65,300.55,302.5,302.25,302.54,17594228,5322941476,101812,10646451,60.51
SBIN,EQ,15-Jan-18,302.25,303.95,305.25,301.55,302.4,302.6,303.54,18189668,5521232963,166873,9466500,52.04
SBIN,EQ,16-Jan-18,302.6,302.4,303.35,295.3,297.2,296.15,299.15,18040940,5396948551,152490,8935321,49.53
SBIN,EQ,17-Jan-18,296.15,296,308.4,292.6,308.1,307.1,302.54,26277307,7950009847,206178,9138976,34.78
SBIN,EQ,18-Jan-18,307.1,315,317.8,300.5,304.8,303.25,309.57,40000111,12382743470,224468,16500702,41.25
SBIN,EQ,19-Jan-18,303.25,303.95,310,302.5,308.8,309.25,307.18,18461642,5671084211,113020,6840931,37.05
SBIN,EQ,22-Jan-18,309.25,308.35,308.75,304.05,306.3,306.5,306.55,12622645,3869442515,95105,5777289,45.77
SBIN,EQ,23-Jan-18,306.5,306.4,320.55,306.35,318.55,318.1,313.81,35252217,11062384635,251611,16363848,46.42
SBIN,EQ,24-Jan-18,318.1,317.7,331.6,316.2,330.45,329.9,323.97,38070520,12333761888,256952,9689477,25.45
SBIN,EQ,25-Jan-18,329.9,332.75,332.75,311.85,311.9,313.15,317.75,42466150,13493553239,247996,10968155,25.83
SBIN,EQ,29-Jan-18,313.15,313.15,316.9,311,313,312.1,313.59,23600898,7401009350,137291,9996472,42.36
SBIN,EQ,30-Jan-18,312.1,312.05,318.85,311,313.5,313.55,314.86,25810404,8126695766,152647,9316567,36.1
SBIN,EQ,31-Jan-18,313.55,313,316.6,307.85,314.5,313.25,312.32,16409938,5125207141,122582,4549979,27.73
SBIN,EQ,01-Feb-18,313.25,316.9,317.4,305,305.4,306.05,310.67,19515991,6063026766,163804,6684417,34.25
SBIN,EQ,02-Feb-18,306.05,302.9,305.75,295.5,295.8,297.35,300.07,23274673,6984012072,156709,7281514,31.29
SBIN,EQ,05-Feb-18,297.35,292.65,300.4,290,299,298.05,295.64,18940578,5599667759,134857,5090174,26.87
SBIN,EQ,06-Feb-18,298.05,285,297.3,282.9,294.6,291.75,289.73,30577218,8859222866,241764,14119757,46.18
SBIN,EQ,07-Feb-18,291.75,296.6,297.9,290,292.1,292.8,293.38,21463818,6297080225,161931,7255476,33.8
SBIN,EQ,08-Feb-18,292.8,292.9,303.3,292.55,302.25,301.4,298.6,18932796,5653382509,125388,5457942,28.83
SBIN,EQ,09-Feb-18,301.4,297,300.6,295,295.4,296.4,297.71,15750824,4689107088,116844,4000394,25.4
SBIN,EQ,12-Feb-18,296.4,288.25,292.4,285.15,290.1,288.75,289.3,50839665,14707862290,317117,20849303,41.01
SBIN,EQ,14-Feb-18,288.75,288.7,288.7,275,275.5,276.2,280.99,45641149,12824620931,327073,23002842,50.4
SBIN,EQ,15-Feb-18,276.2,274.8,282.3,274.25,279.1,278.7,279.14,26058237,7273787834,174992,5995020,23.01
SBIN,EQ,16-Feb-18,278.7,280.5,281.2,270.05,271.4,271.65,273.95,30338112,8310986402,246246,13892054,45.79
SBIN,EQ,19-Feb-18,271.65,271.5,272,256.65,269.6,268.5,263.87,43847791,11570187947,298814,14903513,33.99
SBIN,EQ,20-Feb-18,268.5,269,274.2,264.8,269.5,269.65,269.54,33458021,9018342750,183760,8011451,23.94
SBIN,EQ,21-Feb-18,269.65,272.2,274.1,267.4,273.15,273.3,271.18,23714454,6430819672,146297,7907009,33.34
SBIN,EQ,22-Feb-18,273.3,270.4,273.6,269.45,272.5,272.6,272.38,25584062,6968689324,127523,12588526,49.2
